ID,Ttime_Car (s),Ttime_PT (s),Ttime_bike (s),Distance (m)
497,995,2663,2074,10815
494,1088,2668,2372,12173
123,2096,4662,5365,28990
111,2737,4769,9029,47484
121,2619,4665,8369,37638
122,2816,4664,9122,50123
119,2784,4680,9070,50018
118,1981,4696,4707,23898
823,1200,1560,3120,19530
115,3058,4714,7955,37248
114,2018,4716,5408,31671
576,1462,2304,3295,19669
112,2267,4740,6154,28915
492,1031,2678,2150,10978
487,1090,2709,2146,11050
403,1532,3118,3417,20591
110,2343,4773,6629,37789
480,1217,2731,2505,12957
464,1440,2809,3188,19593
185,2150,4125,5794,32584
109,3100,4800,9000,38000
197,2110,4038,5734,32285
143,2842,4382,7370,45420
481,1217,2731,2505,12957
104,3594,4834,8289,42075
103,2204,4869,6221,27522
120,2836,4674,7365,45386
477,1075,2739,2146,11100
467,1238,2792,2496,12843
100,3095,4895,8821,40469
99,3013,4899,7811,36566
98,2482,4954,8639,44036
